scale,step,ablation_type,R_mean,R_std,n_seeds
py410m,8000,none,1.0,0.0,3
py28b,100000,random,0.8220277319767588,1.8946365100672813,5
py410m,25000,none,1.0,0.0,3
py1b,17000,random,0.9720688692798919,2.261945972108296,4
py410m,75000,leading,1.9070566678646206,0.00010004542770448974,3
py410m,6000,none,1.0,0.0,3
py14b,1,none,1.0,0.0,3
py14b,100000,random,0.13037782204078024,0.6272164266562537,2
py410m,22000,random,3.279187455377555,2.7734711984540508,4
py14b,512,none,1.0,0.0,3
py70m,50000,random,0.3996662464851817,0.3902129913301776,2
py1b,125000,leading,2.7820363525584306,0.0001891820477810057,5
py28b,90000,none,1.0,0.0,3
py28b,100000,leading,2.273811452887924,0.0003350054662371781,8
py160m,100000,leading,1.7152006900372836,0.00011837719181828553,10
py14b,10000,fifth,-0.20392983164247006,0.0032162208676672524,3
py14b,35000,leading,1.1781943150190552,0.00017495001180679135,5
py70m,13000,leading,1.7082526765446449,4.7695430451946714e-05,5
py69b,22000,leading,2.210325462667185,0.00013995929989817386,5
py14b,14000,none,1.0,0.0,3
py69b,125000,none,1.0,0.0,3
py70m,128,none,1.0,0.0,3
py69b,40000,none,1.0,0.0,3
py69b,15000,leading,1.9334608935486013,5.7412047304983564e-05,3
py28b,110000,none,1.0,0.0,3
py410m,25000,leading,1.730642314240984,5.0804835477040954e-05,3
py28b,17000,random,0.8220277319767588,1.8946365100672813,5
py14b,125000,leading,2.483855836702143,0.001751972780412859,5
py69b,11000,leading,1.7726278113277647,3.200992838993685e-05,3
py14b,35000,none,1.0,0.0,3
py28b,30000,leading,2.273803744429833,0.0003070493408273788,5
py1b,125000,none,1.0,0.0,3
py410m,14000,none,1.0,0.0,3
py1b,128,none,1.0,0.0,3
py28b,20000,leading,2.273824300318076,0.00037666985532975775,3
py69b,3000,second,-0.56484879580914,0.00011050507528055092,3
py14b,16000,leading,1.2713854873502979,7.375016197856277e-05,8
py70m,10000,fifth,0.5492739241692962,0.00042528757780694367,3
py1b,28000,leading,2.4521304376870265,2.413796437945306e-05,5
py70m,8000,fifth,8.75161312234035,0.04471600739829522,3
py28b,2000,none,1.0,0.0,3
py14b,8000,fifth,4.522893762965464,0.003700272693321196,3
py69b,143000,leading,2.931854197362237,0.0024285180896567375,4
py14b,50000,leading,1.9206921383281383,8.959065427993558e-05,3
py69b,90000,leading,2.75002850547894,0.0013389252310672662,5
py28b,30000,random,0.8220277319767588,1.8946365100672813,5
py28b,110000,leading,2.273824300318076,0.00037666985532975775,3
py410m,30000,none,1.0,0.0,3
py69b,35000,none,1.0,0.0,3
py28b,2000,random,0.8220277319767588,1.8946365100672813,5
py14b,11000,none,1.0,0.0,3
py69b,30000,random,0.48807092531757573,1.4301114958067747,3
py410m,2000,none,1.0,0.0,3
py14b,110000,none,1.0,0.0,3
py1b,2,none,1.0,0,1
py28b,4000,leading,2.273803744429833,0.0003070493408273788,5
py410m,18000,leading,1.4265377806331998,6.875169735702086e-05,3
py28b,125000,leading,2.477226557397458,0.000483747010942112,3
py69b,16000,random,0.46719559000504324,0,1
py410m,50000,leading,2.1008005029839363,1.3323429644672088e-05,3
py1b,15000,none,1.0,0.0,3
py69b,8000,random,1.811914552453439,1.7399865926856835,3
py69b,50000,fifth,0.03789562561316248,0.000841775029746287,3
py14b,50000,none,1.0,0.0,3
py1b,13000,none,1.0,0.0,3
py14b,8,none,1.0,0.0,3
py28b,35000,none,1.0,0.0,3
py28b,10000,leading,2.273773702772483,0.0003366550404295906,4
py70m,100000,fifth,0.4412819144681434,0.00016190844458527213,3
py28b,70000,random,0.8220277319767588,1.8946365100672813,5
py160m,5000,fifth,0.5168383946999953,0.0008493232205832713,3
py69b,143000,fifth,0.3114458551403502,0.0002730141942567737,3
py28b,5000,random,0.8220277319767588,1.8946365100672813,5
py70m,143000,second,0.5697260393087916,0.00013465098893624176,3
py69b,14000,leading,2.0157741170883066,6.0033115340404903e-05,5
py70m,1,none,1.0,0.0,3
py28b,3000,random,0.8220277319767588,1.894636510067281,5
py160m,3000,random,1.4103747025926647,1.473361659945458,3
py70m,143000,random,0.8092288140219102,1.1843014185866356,7
py14b,32,none,1.0,0.0,3
py14b,13000,none,1.0,0.0,3
py410m,17000,random,1.6085283430837691,2.6453520485165933,5
py1b,14000,leading,1.6977169631522806,6.996664240235146e-05,5
py14b,100000,none,1.0,0.0,3
py28b,60000,none,1.0,0.0,3
py69b,110000,none,1.0,0.0,3
py70m,70000,leading,1.234820401268468,7.131972748810311e-05,5
py410m,19000,leading,1.3215749368212188,6.053116990088792e-05,3
py69b,10000,fifth,-0.3187039648561458,0.0005040135206020765,3
py14b,90000,none,1.0,0.0,3
py1b,35000,leading,2.631637933189649,4.4308729656756046e-05,5
py14b,4,none,1.0,0.0,3
py1b,25000,leading,2.022369190339287,1.947583140271499e-05,5
py410m,19000,none,1.0,0.0,3
py69b,3000,fifth,7.506338157691663,0.011291563230236803,3
py28b,45000,random,0.8220277319767588,1.8946365100672813,5
py14b,11000,leading,1.0103689108108584,9.86764448266764e-05,3
py410m,17000,none,1.0,0.0,3
py28b,8000,none,1.0,0.0,2
py70m,30000,second,0.6150388522505611,9.283116070396375e-05,3
py14b,14000,leading,1.3222579772345031,4.200321190550301e-05,5
py1b,18000,none,1.0,0.0,3
py160m,16000,random,0.8278515405961944,0.9162915340914947,3
py69b,13000,none,1.0,0.0,3
py14b,75000,leading,2.4018299859215544,0.0005768872215658921,5
py14b,90000,leading,2.096743395274458,0.0010757546547710789,5
py28b,45000,leading,2.2738037444298325,0.00030704934082737874,5
py69b,50000,random,1.1543927901684625,2.146774576052124,3
py28b,30000,none,1.0,0.0,3
py410m,15000,leading,1.5954563738382692,3.360619897203392e-05,3
py28b,1000,leading,2.273803744429833,0.0003070493408273788,5
py1b,19000,none,1.0,0.0,3
py410m,13000,none,1.0,0.0,3
py14b,22000,none,1.0,0.0,3
py160m,143000,fifth,1.1114381270544278,0.0009284024050866513,3
py69b,100000,none,1.0,0.0,3
py1b,90000,leading,2.0170583562257756,0.00015533780590172968,5
py1b,110000,none,1.0,0.0,3
py410m,15000,none,1.0,0.0,3
py14b,5000,leading,0.867571606837806,0.00026438427016682597,5
py160m,5000,second,0.2785990521651831,3.303060999423362e-05,3
py14b,19000,leading,1.0823336385166489,5.897183792047317e-05,5
py14b,10000,random,1.168651733153784,0.9814177713114657,3
py160m,4,none,1.0,0.0,3
py14b,30000,random,-1.5598193617688487,0.5036245588285101,2
py69b,20000,none,1.0,0.0,3
py28b,143000,leading,2.273824300318076,0.00037666985532975775,3
py410m,50000,none,1.0,0.0,3
py410m,16000,second,0.24181461010154712,8.121671030239996e-06,3
py28b,22000,leading,2.273803744429833,0.0003070493408273788,5
py69b,5000,fifth,1.6136101785636348,0.0001829148292933281,3
py69b,18000,none,1.0,0.0,3
py160m,16000,second,0.4372176083119341,1.328182515090165e-05,3
py28b,60000,leading,2.273824300318076,0.00037666985532975775,3
py1b,256,none,1.0,0.0,3
py70m,22000,random,-0.6118677743321508,0.9330839214039762,4
py410m,143000,none,1.0,0.0,3
py410m,16000,none,1.0,0.0,3
py70m,64,none,1.0,0.0,3
py28b,70000,leading,2.273803744429833,0.0003070493408273788,5
py410m,18000,none,1.0,0.0,3
py70m,4000,leading,2.253881180224435,0.0002524762533605097,5
py70m,32,none,1.0,0.0,3
py69b,17000,leading,2.342405147749068,8.985900322057716e-05,5
py14b,25000,leading,1.3923422449467087,4.988100985411875e-05,5
py14b,40000,none,1.0,0.0,3
py14b,30000,leading,2.093631139905247,0.0002759367987354844,8
py14b,6000,leading,1.2932261946343862,4.530997434901206e-05,5
py70m,30000,fifth,3.470057972762447,0.000755909118349616,3
py410m,28000,none,1.0,0.0,3
py70m,22000,leading,1.562605157804307,3.325598699560919e-05,5
py410m,13000,random,-0.25614442068008597,1.9881705638419391,5
py14b,6000,none,1.0,0.0,3
py14b,30000,second,1.0228145421030268,0.00017061087313036236,3
py160m,16000,fifth,0.7492059171952307,0.00025605294828120594,3
py1b,18000,leading,2.110548268493001,2.9064267943741604e-05,5
py1b,60000,leading,1.7874691504623605,0.0001446240635904229,5
py1b,13000,leading,1.5319379090369583,6.039529555787395e-05,5
py14b,60000,none,1.0,0.0,3
py160m,2,none,1.0,0.0,3
py28b,100000,none,1.0,0.0,2
py1b,7000,leading,1.4228685179137015,5.759453453679786e-05,2
py28b,125000,none,1.0,0.0,3
py28b,3000,leading,2.273803744429833,0.0003070493408273788,5
py28b,16000,none,1.0,0,1
py70m,100000,random,-0.6455469442554043,1.7251769382998352,7
py1b,512,none,1.0,0.0,3
py410m,35000,leading,2.207916080410816,0.0005820366951506285,3
py14b,50000,second,0.5552629336429714,5.089503844235248e-05,3
py28b,5000,none,1.0,0,1
py1b,4000,random,0.12298534483882281,0.7967292364290018,4
py410m,16000,random,1.7062571045904742,2.5398545472272835,3
py70m,256,none,1.0,0.0,3
py69b,9000,leading,2.115096987028026,4.238865669115022e-05,2
py70m,70000,random,1.0445352991384556,0.8711756108190782,4
py14b,28000,none,1.0,0.0,3
py14b,8000,random,-1.6544494454889702,1.0614033536296006,2
py69b,7000,leading,0.9952093903725018,0,1
py28b,1000,random,0.8220277319767588,1.8946365100672813,5
py14b,5000,random,2.6094221416629737,3.4346455312026114,3
py14b,15000,none,1.0,0.0,3
py69b,10000,random,2.634071829770349,2.674036085380452,2
